Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas0        Pavarde0       2    3    3    10   3    9    7    1    4    7    10   
Vardas1        Pavarde1       0    6    9    8    3    2    10   6    3    6    0    
Vardas10       Pavarde10      9    5    8    2    2    0    2    3    0    4    10   
Vardas100      Pavarde100     1    4    3    9    9    6    6    0    3    3    1    
Vardas101      Pavarde101     6    10   1    4    8    7    8    1    10   2    6    
Vardas102      Pavarde102     10   5    6    6    4    0    10   0    6    0    3    
Vardas103      Pavarde103     8    6    3    4    5    9    4    9    8    10   8    
Vardas104      Pavarde104     7    8    0    3    3    8    7    10   6    9    6    
Vardas105      Pavarde105     5    10   1    4    2    6    10   6    2    10   2    
Vardas106      Pavarde106     0    3    10   3    1    4    3    8    9    8    7    
Vardas107      Pavarde107     10   1    6    1    3    7    5    4    0    1    7    
Vardas108      Pavarde108     0    6    1    1    10   8    9    2    0    7    0    
Vardas109      Pavarde109     5    3    4    6    10   7    4    6    8    7    5    
Vardas11       Pavarde11      1    0    2    9    10   8    2    9    3    2    10   
Vardas110      Pavarde110     6    5    3    0    4    2    9    9    5    6    10   
Vardas111      Pavarde111     6    3    1    8    2    3    3    9    3    8    3    
Vardas112      Pavarde112     1    3    4    0    0    6    8    9    3    1    0    
Vardas113      Pavarde113     7    8    0    0    4    4    6    2    3    10   2    
Vardas114      Pavarde114     8    0    5    4    9    7    2    4    0    2    3    
Vardas115      Pavarde115     4    9    1    2    4    6    8    6    0    5    2    
Vardas116      Pavarde116     0    0    6    5    6    2    8    9    4    9    7    
Vardas117      Pavarde117     1    6    8    3    2    4    7    3    8    1    9    
Vardas118      Pavarde118     9    1    5    3    0    0    3    10   9    4    1    
Vardas119      Pavarde119     10   7    0    10   1    4    0    6    9    3    10   
Vardas12       Pavarde12      9    0    0    6    9    10   10   5    7    4    5    
Vardas120      Pavarde120     0    3    0    2    7    6    0    6    1    3    10   
Vardas121      Pavarde121     1    3    4    2    4    5    4    5    4    0    5    
Vardas122      Pavarde122     4    2    6    9    5    9    9    7    6    8    7    
Vardas123      Pavarde123     4    4    6    10   10   9    5    4    2    8    7    
Vardas124      Pavarde124     2    9    7    3    2    2    0    6    8    8    2    
Vardas125      Pavarde125     6    10   1    2    4    5    7    0    6    5    6    
Vardas126      Pavarde126     1    0    0    7    4    7    4    1    3    3    5    
Vardas127      Pavarde127     8    8    10   0    3    7    7    8    5    5    9    
Vardas128      Pavarde128     1    8    1    4    2    3    9    0    8    5    8    
